Ageyears,Data_Value,Class,Question
 ,30.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.6,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,27.4,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,48.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,35.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,40.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,15.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,33.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,19.8,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.1,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
 ,27.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,42,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,16.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,50.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
